"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"apadbnut  ","P",01/11/2011 13:11,0,1,1         ,1         ,"",0.0030,<-4> [SBL] ,0.072,<0>  ,"","","","",0.067,<0> (CUS) ,13.4,<0>  ,
"apadbnut  ","P",02/09/2011 10:41,0,1,1         ,1         ,"",0.0030,<0>  ,0.015,<-4> [SBL] ,"","","","",0.372,<0> (CUS) ,6.7,<0>  ,
"apadbnut  ","P",03/02/2011 14:03,0,1,1         ,1         ,"",0.0030,<-4> [SBL] ,0.015,<-4> [SBL] ,"","","","",0.285,<0> (CUS) ,14.7,<0>  ,
"apadbnut  ","P",04/06/2011 9:37,0,1,1         ,1         ,"",0.0030,<-4> [SBL] ,0.025,<0>  ,"","","","",0.263,<0> (CUS) ,5.8,<0>  ,
"apadbnut  ","P",05/11/2011 8:01,0,1,1         ,1         ,"",0.0040,<0>  ,0.05,<0>  ,"","","","",0.0060,<0> (CUS) ,8.5,<0>  ,
"apadbnut  ","P",06/07/2011 8:55,0,1,1         ,1         ,"",0.0030,<-4> [SBL] ,0.015,<-4> [SBL] ,"","","","",0.0050,<0> (CUS) ,10.3,<0>  ,
"apadbnut  ","P",07/13/2011 8:36,0,1,1         ,1         ,"",0.0030,<0>  ,0.023,<0>  ,"","","","",0.0030,<0> (CUS) ,10.0,<0>  ,
"apadbnut  ","P",08/03/2011 8:35,0,1,1         ,1         ,"",0.0030,<-4> [SBL] ,0.015,<-4> [SBL] ,"","","","",0.0040,<0> (CUS) ,11.8,<0>  ,
"apadbnut  ","P",08/03/2011 8:37,0,1,1         ,2         ,"",0.0030,<-4> [SBL] ,0.039,<0>  ,"","","","",0.0030,<0> (CUS) ,11.8,<0>  ,
"apadbnut  ","P",08/03/2011 8:39,0,1,1         ,3         ,"",0.0040,<0>  ,0.042,<0>  ,"","","","",0.0030,<-4> [SBL] (CUS) ,11.6,<0>  ,
"apadbnut  ","P",09/07/2011 8:34,0,1,1         ,1         ,"",0.0030,<-4> [SBL] ,0.015,<-4> [SBL] ,"","","","",0.029,<0> (CUS) ,7.4,<0>  ,
"apadbnut  ","P",10/05/2011 11:45,0,1,1         ,1         ,"",0.0030,<0>  ,0.015,<-4> [SBL] ,"","","","",0.01,<0> (CUS) ,11.8,<0>  ,
"apadbnut  ","P",11/02/2011 8:31,0,1,1         ,1         ,"",0.0040,<0>  ,0.028,<0>  ,"","","","",0.014,<0> (CUS) ,11.2,<0>  ,
"apadbnut  ","P",12/13/2011 9:25,0,1,1         ,1         ,"",0.0070,<0>  ,0.021,<0>  ,"","","","",0.036,<0> (CUS) ,11.4,<0>  ,

